Id appearances modularity_class
lulacovarde 5517 9
prefirociropresidente12 23965 3
vaipracuba 1195 9
haddadprontoprasp 1066 7
viravoto 28702 1
parintins 1523 16
euvoto22 1369 9
flow 1944 7
comunismonão 1081 9
freespeech 1511 1
assineicartapelademocracia 10836 7
estadodemocraticodedireitosempre 1007 9
lulaladrãoseulugarenaprisão 1112 9
kentucky 1339 1
ciro12presidente 4954 3
tarcisio 2239 1
election 1068 1
capitaonoprimeiroturno 10596 9
rockinrio 1218 14
cartademocracia 1218 1
abençoe 1302 7
prefirolula 3066 7
ptdepontaapontaporamoraobrasil 2111 7
quemvotaemladrãoécúmplice 2000 9
uollixo 1082 9
elmanogovernador13 1337 7
brasildaesperanca 58642 7
bolsolao 2995 7
orcamentosecreto 1114 7
sãopaulopodemais 2917 9
debateband 3124 7
arizona 1248 1
lulaladraoseulugarénaprisão 21533 9
domingo 1919 14
janonesmentiroso 2566 9
lulaolivioprettoruas 1028 7
votelula13 2566 7
saopaulopodemais 5032 9
naruto 1698 9
mt 15081 0
todoscomlula 1202 7
fechadacombolsonaro 1868 9
sorayapresidente 1939 14
roraima 1025 1
whatsapp 1111 1
robertojefferson 4503 1
ptdepontaaponta 2561 7
mulherescombolsonaro22 1009 9
bolsonarotinharazao 1630 9
am 15250 0
todosconcristina 1012 7
australia 1419 1
psol50 1637 7
cironojn 5718 3
elesnuncamais 1803 3
foramoraes 1473 1
lulaavitoriadoamor 5439 7
anonymous 1237 7
bolsonaronosbt 3363 9
felipeneto 1528 7
vempraurna 1746 9
crypto 1529 6
ocapitaovaivenceroladrao 6101 9
rato 1242 9
lulaladraosim 9673 9
debatenaband 39664 7
qatar 1049 1
norte 17054 0
ocapitãovaivenceroladrão 4352 9
nordestecomlula 1481 7
crimeeleitoral 15889 9
forasimonetebete 1294 9
foralulaladrão 1829 1
católico 1515 1
redetv 1122 14
adeus 1896 9
capitaoeoterrordoladrao 1213 9
assembleiadedeus 1132 1
damares 1113 9
minascombolsonaro 1959 9
lulaeoptoamorvencera 5098 7
bonner 1636 1
foradoria 1477 9
palestina 1681 16
lulanaoeinocente 1970 9
damaresmentirosa 8546 7
spain 2053 1
italy 3074 1
primaverabrasileira 1065 1
votoutil 2602 7
uolnaseleições 4740 0
prioridades 1183 1
abusodepoder 1479 1
bolsonaronoflow 7386 9
jdoriajr 1355 7
flowpodcast 2873 7
lulinhapazeamor 7635 7
lulinhanoprimeiroturno 13539 7
nikolasferreira 2119 9
brazilelections 5729 1
