ID Appearances
voto2022 1667
gospel 3082
tarcisiogovernadorsp10 36091
j13 2229
brasilesperança 1655
cartadopovo 5299
tchutchucadocentrao 8237
evangelho 1091
worldcup2022 1139
travessia 1143
militaquevira 1425
militaquevira12 2286
tarcisionão 6942
evangelicoscomlula 6554
marilia77 1428
cristianismo 1630
vote100 16873
éavezdomourão 6664
lulaeoptaverdadevencera 6945
lulapelobrasilhaddadporsp 11070
lulaeoptaverdadevencerá 3947
morosenadorpr444 1388
foramentiroso 23344
lulafujao 1796
molon400 2662
lulapelobrasilkalilpormg 2353
ogovernodecepcionaaanittanão 1318
vote21 2565
camilosenador131 1325
lulacompovo 1826
votolula13 2312
lulaeptepccjuntos 1738
gritodosexcluidos 1589
debatenaglobo 59732
somos13 1489
ultimasnoticias 1029
catolico 1767
gravíssimo 2112
bolsonaroreeeleito 1346
agrocombolsonaro 2114
bolsonaronojn 6088
bolsonaronojornalnacional 1271
lulaobrasilabracalula 4695
bollsonaronuncamais 4521
forabolsoeleveseusfillhos 4867
marcospontessenadorsp222 1104
brasildaesperanca13 6231
sucre 2691
forabonner 1453
oglobonaseleicoes 2241
luladraotchutchucadopcc 4053
alexandresilveira555 1221
word 1527
eleicões 1319
lulanojn 26018
dompedro 2200
uoleleições2022 1799
twittercensura 22352
incompetentes 1291
bolsonaronoironberg 1008
videoproibido 1210
bolsonaronopanico 4939
lulanaglobo 55677
uoleleicoes2022 1099
luciafrança 1396
cirotv 17411
belomonte 1620
impeachmentdoalexandredemoraes 1041
rachadinhadodanones 1626
luladrãotchutchucadopcc 3704
luladraocorruptochefedopcc 6829
pachecocovarde 22719
lulanoprigmeiroturno 22027
janoneseuautorizo 14914
andrejanones7040 2424
lulanojornalnacional 8217
eleicoesbrasil2022 1341
cadêosenadofederal 1919
euautorizojanones 6794
euvoto12 2534
boavista 1056
radio 5056
pakistan 1082
lulaeoptjáno1ºturno 3409
euvoudeverdeeamarelo 2020
lulapelobrasilfreixopelorj 2255
voteprofessoredward1310 3685
lulaeoptjano1ºturno 21449
tebet15 3348
afazenda14 4298
sexo 1575
lulahaddad 1900
cadêapgr 1867
lulanaband 30792
globolixoepetista 6482
lulaemcuritiba 1133
tarcisiogomesgovernadorsp10 40888
senamadureira 1832
macapá 1245
debatedaband 1667
fraudeeleitoral 2785
lulapelobrasiljerônimopelaba 1015
católicos 4218
bolsonaronaband 7930
cf1988 8421
cironaband 2989
haddademcampinas 1912
esquerdismoédoença 1858
debatenacultura 1056
eutôcomlula 1436
soumulheresoubolsonaro 1179
veravergonhadojornalismo 1097
vemprarualuladrão 1082
lulaexpresidiário 2169
lulaexpresidiario 2425
soraya44 1711
euvotoemprojeto 1537
mazelascronicas 1185
voudelula 11319
lulaobrasilpedevotelula 1561
lulaéinocente 1023
abusodeautoridade 1053
lulasatanista 1425
cirocresce 6583
euvotobolsonaro22 21192
afazenda 3438
lulalarapioementiroso 1283
vídeos 1002
