Label Appearances
motivationalquotes 3
jailbolsonaro 213
consorcio 8
cnnnaseleicoes 1954
rompendoapolarização 75
comitesdeluta 19
limeira 14
vaccines 15
candidato 682
desfile 48
faroldabahia 71
lulaeaesquerdapelobrasil 2
stfvergonha 144
adescobtrolada 4
descondenado 2344
douchebag 5
magaidiot 4
misogynist 9
proudboi 4
racist 31
lulaladraonuncamais 527
naovotenopt 70
quadrilhadopt 218
jeanineañez 44
argentinaunida 152
cfk 91
cfkladronadelanacionargentina 521
cfkprocesada 33
cfkulpable 33
chile 2267
cristinacumple 36
cristinacumplesiempre 33
cristinakirchner 189
kirchner 110
kirchnerismo 67
lapaz 2844
peru 820
scz 56
tilin 33
unidadfueguina 33
acordanaçãobrasileira 1
