POS|TG|POL:N0|POL:N1
amadorismo|N|HUM:N0|-1|NaN
amadurecer|V|HUM:N0|1|NaN
amadurecido|Adj|HUM:N0|1|NaN
amaldiçoado|Adj|HUM:N0|-1|NaN
amalucado|Adj|HUM:N0|-1|NaN
amamentado|Adj|HUM:N0|0|NaN
amaneirado|Adj|HUM:N0|-1|NaN
amar|V|HUM:N0:N1|0|1
amarelado|Adj|HUM:N0|-1|NaN
amarelo|Adj|HUM:N0|-1|NaN
amargado|Adj|HUM:N0|-1|NaN
amargo|Adj|HUM:N0|-1|NaN
amargura|N|HUM:N0|-1|NaN
amargurado|Adj|HUM:N0|-1|NaN
amaricado|Adj|HUM:N0|-1|NaN
amarrado|Adj|HUM:N0|-1|NaN
amassado|Adj|HUM:N0|-1|NaN
amável|Adj|HUM:N0|1|NaN
ambicioso|Adj|HUM:N0|0|NaN
ambidestro|Adj|HUM:N0|0|NaN
ambidextro|Adj|HUM:N0|0|NaN
ambiguidade|N|HUM:N0|-1|NaN
ambíguo|Adj|HUM:N0|-1|NaN
ambiopia|N|HUM:N0|-1|NaN
ambliopia|N|HUM:N0|-1|NaN
ambrosiano|Adj|HUM:N0|0|NaN
ameaça|N|HUM:N0|-1|NaN
ameaçador|Adj|HUM:N0|-1|NaN
ameaçante|Adj|HUM:N0|-1|NaN
amedrontado|Adj|HUM:N0|-1|NaN
amedrontador|Adj|HUM:N0|-1|NaN
amedrontar|V|HUM:N0:N1|1|-1
ameno|Adj|HUM:N0|1|NaN
americanista|Adj|HUM:N0|0|NaN
americanófilo|Adj|HUM:N0|0|NaN
americanófobo|Adj|HUM:N0|-1|NaN
amestrado|Adj|HUM:N0|1|NaN
amigalhaço|Adj|HUM:N0|1|NaN
amigalhão|Adj|HUM:N0|1|NaN
amigável|Adj|HUM:N0|1|NaN
amigo da onça|Adj|HUM:N0|-1|NaN
amigo da pinga|Adj|HUM:N0|-1|NaN
amigo dos copos|Adj|HUM:N0|-1|NaN
amigo|Adj|HUM:N0|1|NaN
amistoso|Adj|HUM:N0|1|NaN
amnésia|N|HUM:N0|-1|NaN
amnésico|Adj|HUM:N0|-1|NaN
amolecer|V|HUM:N0|-1|NaN
amoral|Adj|HUM:N0|-1|NaN
amoralidade|N|HUM:N0|-1|NaN
amoralista|Adj|HUM:N0|-1|NaN
amorável|Adj|HUM:N0|1|NaN
amorfia|N|HUM:N0|-1|NaN
amorfo|Adj|HUM:N0|-1|NaN
amorosidade|N|HUM:N0|1|NaN
amoroso|Adj|HUM:N0|1|NaN
amortecido|Adj|HUM:N0|-1|NaN
amotinado|Adj|HUM:N0|-1|NaN
amputado|Adj|HUM:N0|-1|NaN
amuado|Adj|HUM:N0|-1|NaN
amuamento|N|HUM:N0|-1|NaN
amuar|V|HUM:N0|-1|NaN
amuo|N|HUM:N0|-1|NaN
anacrónico|Adj|HUM:N0|-1|NaN
anacrônico|Adj|HUM:N0|-1|NaN
anafado|Adj|HUM:N0|-1|NaN
analfabeto|Adj|HUM:N0|-1|NaN
analisador|Adj|HUM:N0|0|NaN
analista|Adj|HUM:N0|0|NaN
anão|Adj|HUM:N0|-1|NaN
anárquico|Adj|HUM:N0|-1|NaN
anarquista|Adj|HUM:N0|-1|NaN
ancião|Adj|HUM:N0|0|NaN
andante|Adj|HUM:N0|-1|NaN
andar a apanhar bonés|IDIOM|HUM:N0|-1|NaN
andar à deriva|IDIOM|HUM:N0|-1|NaN
andar a dormir à sombra da bananeira|IDIOM|HUM:N0|-1|NaN
andar a dormir|IDIOM|HUM:N0|-1|NaN
andar a falar sozinho|IDIOM|HUM:N0|-1|NaN
andar à nora|IDIOM|HUM:N0|-1|NaN
andar a pensar na morte da bezerra|IDIOM|HUM:N0|-1|NaN
andar a reboque de|IDIOM|HUM:N0:N1|-1|0
andar à sombra da bananeira|IDIOM|HUM:N0|-1|NaN
andar ao deus dará|IDIOM|HUM:N0|-1|NaN
andar aos bonés|IDIOM|HUM:N0|-1|NaN
andar aos caídos|IDIOM|HUM:N0|-1|NaN
andar aos papéis|IDIOM|HUM:N0|-1|NaN
andar armado em carapau de corrida|IDIOM|HUM:N0|-1|NaN
andar às aranhas|IDIOM|HUM:N0|-1|NaN
andar às cavalitas de|IDIOM|HUM:N0:N1|-1|0
andar às cegas|IDIOM|HUM:N0|-1|NaN
andar às turras com|IDIOM|HUM:N0:N1|-1|-1
andar com a cabeça na lua|IDIOM|HUM:N0|-1|NaN
andar com cara de caso|IDIOM|HUM:N0|-1|NaN
andar com dor de corno|IDIOM|HUM:N0|-1|NaN
andar com dor de cotovelo|IDIOM|HUM:N0|-1|NaN
andar com macacos na cabeça|IDIOM|HUM:N0|-1|NaN
andar com macacos no sótão|IDIOM|HUM:N0|-1|NaN
andar com macaquinhos na cabeça|IDIOM|HUM:N0|-1|NaN
andar com macaquinhos no sótão|IDIOM|HUM:N0|-1|NaN
andar com o coração nas mãos|IDIOM|HUM:N0|-1|NaN
andar com os azeites|IDIOM|HUM:N0|-1|NaN
andar de olhos vendados|IDIOM|HUM:N0|-1|NaN
andar de trombas|IDIOM|HUM:N0|-1|NaN
andar em pele e osso|IDIOM|HUM:N0|-1|NaN
andar feito barata tonta|IDIOM|HUM:N0|-1|NaN
andar feito com|IDIOM|HUM:N0:N1|-1|-1
andar na boa vida|IDIOM|HUM:N0|-1|NaN
andar na lua|IDIOM|HUM:N0|-1|NaN
andar na má vida|IDIOM|HUM:N0|-1|NaN
andar nas sete quintas|IDIOM|HUM:N0|1|NaN
andar pelos cabelos|IDIOM|HUM:N0|-1|NaN
andarilho|Adj|HUM:N0|0|NaN
andrajoso|Adj|HUM:N0|-1|NaN
anedótico|Adj|HUM:N0|-1|NaN
anémico|Adj|HUM:N0|-1|NaN
anêmico|Adj|HUM:N0|-1|NaN
anestesiado|Adj|HUM:N0|-1|NaN
anestesiar|V|HUM:N0:N1|1|-1
anexado|Adj|HUM:N0|0|NaN
anexionista|Adj|HUM:N0|0|NaN
angelical|Adj|HUM:N0|1|NaN
angélico|Adj|HUM:N0|1|NaN
angelita|Adj|HUM:N0|0|NaN
anglicano|Adj|HUM:N0|0|NaN
anglófilo|Adj|HUM:N0|0|NaN
anglófobo|Adj|HUM:N0|-1|NaN
angustiado|Adj|HUM:N0|-1|NaN
angustiante|Adj|HUM:N0|-1|NaN
angustiar|V|HUM:N0:N1|0|-1
animação|N|HUM:N0|1|NaN
animado|Adj|HUM:N0|1|NaN
animador|Adj|HUM:N0|1|NaN
animal político|N|HUM:N0|1|NaN
animal|Adj|HUM:N0|-1|NaN
animar|V|HUM:N0:N1|1|0
animista|Adj|HUM:N0|0|NaN
animosidade|N|HUM:N0|-1|NaN
animoso|Adj|HUM:N0|1|NaN
aniquilado|Adj|HUM:N0|-1|NaN
aniquilar|V|HUM:N0:N1|1|-1
anjinho|Adj|HUM:N0|-1|NaN
anómalo|Adj|HUM:N0|-1|NaN
anoréctico|Adj|HUM:N0|-1|NaN
anorético|Adj|HUM:N0|-1|NaN
anorexia nervosa|N|HUM:N0|-1|NaN
anorexia|N|HUM:N0|-1|NaN
anormal|Adj|HUM:N0|-1|NaN
anormalidade|N|HUM:N0|-1|NaN
anotia|N|HUM:N0|-1|NaN
ansioso|Adj|HUM:N0|-1|NaN
antepassado|Adj|HUM:N0|0|NaN
anti-republicano|Adj|HUM:N0|-1|NaN
antidemocrata|Adj|HUM:N0|-1|NaN
antidesportista|Adj|HUM:N0|-1|NaN
antidesportivismo|N|HUM:N0|-1|NaN
antidogmático|Adj|HUM:N0|1|NaN
antifascista|Adj|HUM:N0|1|NaN
antifederalista|Adj|HUM:N0|0|NaN
antigo|Adj|HUM:N0|0|NaN
antiliberal|Adj|HUM:N0|-1|NaN
antiliberalista|Adj|HUM:N0|-1|NaN
antimilitarista|Adj|HUM:N0|0|NaN
antinatural|Adj|HUM:N0|-1|NaN
antinazista|Adj|HUM:N0|1|NaN
antinómico|Adj|HUM:N0|-1|NaN
antipapista|Adj|HUM:N0|0|NaN
antipartidário|Adj|HUM:N0|0|NaN
antipatia|N|HUM:N0|-1|NaN
antipático|Adj|HUM:N0|-1|NaN
antipatriota|Adj|HUM:N0|-1|NaN
antipatriotismo|N|HUM:N0|-1|NaN
antipolítico|Adj|HUM:N0|-1|NaN
antiquado|Adj|HUM:N0|-1|NaN
antisocial|Adj|HUM:N0|-1|NaN
antoniano|Adj|HUM:N0|0|NaN
antonino|Adj|HUM:N0|0|NaN
antropófago|Adj|HUM:N0|-1|NaN
anular|V|HUM:N0:N1|1|-1
apadrinhado|Adj|HUM:N0|0|NaN
apagado|Adj|HUM:N0|-1|NaN
apagar-se|V|HUM:N0|-1|NaN
apagar|V|HUM:N0:N1|1|-1
apaixonado|Adj|HUM:N0|0|NaN
apaixonante|Adj|HUM:N0|1|NaN
apaixonar-se|V|HUM:N0:N1|0|1
apaixonar|V|HUM:N0:N1|1|0
apalavrado|Adj|HUM:N0|0|NaN
apalermado|Adj|HUM:N0|-1|NaN
apalhaçado|Adj|HUM:N0|-1|NaN
apancado|Adj|HUM:N0|-1|NaN
apanhado|Adj|HUM:N0|-1|NaN
apanhar nas orelhas|IDIOM|HUM:N0|-1|NaN
apanhar por tabela|IDIOM|HUM:N0|-1|NaN
apaparicar|V|HUM:N0:N1|-1|0
aparolado|Adj|HUM:N0|-1|NaN
apartado|Adj|HUM:N0|-1|NaN
aparvalhado|Adj|HUM:N0|-1|NaN
apatetado|Adj|HUM:N0|-1|NaN
apatia|N|HUM:N0|-1|NaN
apático|Adj|HUM:N0|-1|NaN
apatriota|Adj|HUM:N0|-1|NaN
apavorado|Adj|HUM:N0|-1|NaN
apavorante|Adj|HUM:N0|-1|NaN
apavorar-se|V|HUM:N0|-1|NaN
apavorar|V|HUM:N0:N1|1|-1
apaziguador|Adj|HUM:N0|1|NaN
apaziguar|V|HUM:N0:N1|1|0
apeado|Adj|HUM:N0|-1|NaN
apedantado|Adj|HUM:N0|-1|NaN
apedrejado|Adj|HUM:N0|-1|NaN
apedrejar|V|HUM:N0:N1|-1|0
apelativo|Adj|HUM:N0|1|NaN
apele|Adj|HUM:N0|0|NaN
apelidado|Adj|HUM:N0|0|NaN
aperaltado|Adj|HUM:N0|-1|NaN
aperreado|Adj|HUM:N0|-1|NaN
apessoado|Adj|HUM:N0|1|NaN
apetitoso|Adj|HUM:N0|0|NaN
aplaudir|V|HUM:N0:N1|0|1
aplicado|Adj|HUM:N0|1|NaN
aplicar golpes baixos a|IDIOM|HUM:N0:N1|-1|0
apócrifo|Adj|HUM:N0|-1|NaN
apoiar|V|HUM:N0:N1|0|1
apolíneo|Adj|HUM:N0|1|NaN
apologético|Adj|HUM:N0|0|NaN
apopléctico|Adj|HUM:N0|-1|NaN
apoplético|Adj|HUM:N0|-1|NaN
apoquentado|Adj|HUM:N0|-1|NaN
apoquentador|Adj|HUM:N0|-1|NaN
aposentado|Adj|HUM:N0|0|NaN
apostado|Adj|HUM:N0|1|NaN
apóstata|Adj|HUM:N0|-1|NaN
aprazível|Adj|HUM:N0|1|NaN
apreciado|Adj|HUM:N0|1|NaN
apreciador|Adj|HUM:N0|1|NaN
apreciar|V|HUM:N0:N1|0|1
apreciável|Adj|HUM:N0|1|NaN
apreendido|Adj|HUM:N0|-1|NaN
