id_str timestamp_ms quoted_status.id_str hashtags botscore sentiment toxicity
1547118241427881985 1657696707480  "['lulanoprimeiroturno', 'lulasim', 'lula13']" 0.18 0 0
1547119785997131776 1657697075734  "['bolsonaroreeleito2022', 'ptnuncamais']" 0.28 0 1
1547120497284251648 1657697245318  "['bolsonaroreeleito2022', 'ptnuncamais']" 0.28 0 1
1547124255669850112 1657698141387  "['lula', 'forabolsonaro', 'lulapresidentenoprimeiroturno', 'jailbolsonaro', 'lulapresidente13', 'forabol卐onarogenocida']" 0.41 0 1
1547125540766842881 1657698447778 1546882358393143302 "['lulanoprimeiroturno', 'lula13presidente', 'viradarj']" 0.18 -1 0
1547126292256022528 1657698626947  "['mundo', 'politica', 'lulaladrao']" 0.04 0 1
1547128485772140544 1657699149922  "['forabolsonaro', 'elesnão', 'foralula']" 0.26 -1 0
1547131203710590977 1657699797929  "['shorts', 'mudabrasil', 'foragenocida']" 0.21 0 0
1547131341778591745 1657699830847  "['bolsonaronacadeia', 'bolsonaroladraoteulugarenaprisao', 'bolsonaroassassino']" 0.31 1 0
1547132523049779206 1657700112484  "['mudabrasil', 'foragenocida']" 0.21 0 0
1547134282635812865 1657700532002  "['mudabrasil', 'foragenocida']" 0.21 0 0
1547135711094210560 1657700872573 1546882358393143302 "['lulanoprimeiroturno', 'vamosjuntospelobrasil', 'viradarj', 'vamosjuntospelorio']" 0.19 -1 0
1547135750310961152 1657700881923 1546888021794078723 "['bolsonaroassassino', 'globolixo', 'bolsonarismomata', 'luladrao', 'annitaapoiaocrime']" 0.43 -1 0
1547137037370793993 1657701188782  "['lulanoprimeiroturno', 'lula13presidente', 'democracia']" 0.3 -1 0
1547138199729881088 1657701465910  "['vamosvotar', 'bolsonaro22', 'nanovaenquete', 'vamospatriotas']" 0.13 0 0
1547138974925332480 1657701650731 1546566921792937987 "['stf', 'paróquiacoracaoeucaristico', 'cnbb', 'câmaradosdeputados', 'senadofederal', 'congressonacional', 'tse', 'caruaru', 'pernambuco', 'band', 'redeglobo', 'papafrabcisco', 'sbt']" 0.2 0 0
1547139272377077761 1657701721649 1546612656928444418 "['tatiinsignificante', 'lulanuncamais', 'lulaladrao']" 0.4 -1 0
1547139312671723522 1657701731256  "['ptcc', 'ptepccjuntos', 'ptnuncamais']" 0.34 0 0
1547139760032043008 1657701837915  "['tatiinsignificante', 'lulanuncamais', 'lulaladrao']" 0.4 -1 0
1547139893398208512 1657701869712  "['bolsonaronaoapuda', 'lulapresidente', 'lula13', 'lulanoprimeiroturno', 'quemmatoumarielle', 'lula2022']" 0.29 -1 0
1547139895688404992 1657701870258  "['tatiinsignificante', 'lulanuncamais', 'lulaladrao']" 0.4 -1 0
1547141047943315456 1657702144977 1547012055970058241 "['lula2022', 'vamosjuntospelobrasil']" 0.54 2 0
1547142652411379712 1657702527512  "['bolsonarismomata', 'lula2022']" 0.35 0 0
1547143061217726465 1657702624979 1547012055970058241 "['vamosjuntospelobrasil', 'datapovo']" 0.11 0 1
1547143534167343106 1657702737739  "['lulanoprimeiroturno', 'luladenovocomaforçadopovo', 'obrasilfelizdenovo']" 0.03 0 1
1547143581999284224 1657702749143  "['lulanoprimeiroturno', 'luladenovocomaforçadopovo', 'obrasilfelizdenovo']" 0.03 0 1
1547143639113105411 1657702762760  "['lulanoprimeiroturno', 'luladenovocomaforçadopovo', 'obrasilfelizdenovo']" 0.03 0 1
1547143797196349440 1657702800450  "['lulavergonhadobrasil', 'luladrao']" 0.39 0 1
1547144381743960064 1657702939817 1546835465977880578 "['ptcc', 'ptepccjuntos', 'ptnuncamais']" 0.34 -1 1
1547145068011724800 1657703103436  "['vamosjuntospelobrasil', 'lulanoprimeiroturno', 'lulapresidente2022', 'lulapresidente13', 'lula2022']" 0.24 1 0
1547146736556187649 1657703501248  "['bolsonaro', 'reeleito']" 0.37 1 0
1547146815128084480 1657703519981  "['esquerdanuncamais', 'tarcisiogovernadorsp', 'esquerdacriminosa', 'bolsonaroreeleito2022']" 0.32 0 1
1547147080183037952 1657703583175  "['bdsp', 'xiaomi', 'lula13', 'rockday', 'bdpr', 'viamobilidade', 'bdrj', 'cirogames', 'bdes', 'brtrio', 'df2', 'bolsonaro22']" 0.13 0 0
1547147439093780481 1657703668746  "['bolsonarotemrazao', 'bolsonaro2022', 'quemmandaeopovo']" 0.47 0 0
1547148358749507590 1657703888009  "['bolsonaroreeleito2022', 'luladrao']" 0.32 0 1
1547148511401185282 1657703924404  "['bolsonaro', 'hungary', 'brasil']" 0.08 0 0
1547148601352224769 1657703945850  "['bolsonaroreeleitonoprimeiroturno2022', 'magnomaltasenadordoespiritosanto2022', 'manatogovernadordoespiritosanto2022']" 0.3 0 0
1547148860316823552 1657704007592  "['bolsonaroreeleito2022', 'luladrao']" 0.32 0 1
1547148887810506764 1657704014147  "['lulavergonhadobrasil', 'luladrao']" 0.53 0 1
1547149236600446976 1657704097305  "['lulavergonhadobrasil', 'luladrao']" 0.53 0 1
1547149277885071362 1657704107148  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.17 1 0
1547149436249427968 1657704144905  "['anittalulou', 'vivaanitta']" 0.6866666666666665 0 0
1547149626360356864 1657704190231  "['anittalulou', 'vivaanitta']" 0.04 0 0
1547149779867672577 1657704226830  "['fechadocombolsonaroate2026', 'ptatrasodobrasil']" 0.5 0 0
1547150315484479490 1657704354531 1547148511401185282 "['bolsonaro', 'hungary', 'brasil']" 0.33 0 0
1547150363744260097 1657704366037 1545397554606661633 "['lulavergonhadobrasil', 'bolsonaroreeleito2022', 'filhasdeeva']" 0.26 0 1
1547150530492915712 1657704405793  "['anittalulou', 'vivaanitta']" 0.04 0 0
1547151503642791936 1657704637810  "['anittalulou', 'lulavidaelutabrasileira']" 0.6866666666666665 1 0
1547151971064467461 1657704749252  "['lulavergonhadobrasil', 'luladrao']" 0.36 0 1
1547152279958175744 1657704822898  "['lulaeoptunindoobrasil', 'forabolsonaro']" 0.15 0 1
1547152381967843329 1657704847219  "['sóvotenaesquerdabrasil', 'lula13']" 0.33 0 0
1547152979102400517 1657704989587  "['anittalulou', 'lulavidaelutabrasileira']" 0.04 0 0
1547153113567600653 1657705021646  "['lulanoprimeiroturno', 'fazol']" 0.01 0 0
1547153328315981824 1657705072846  "['lulanoprimeiroturno', 'lula13éamelhoropção']" 0.06 0 0
1547153673335279617 1657705155105  "['forabolsonaro', 'forabolsonarovagabundo', 'gooutbolsonaro']" 0.28 0 1
1547153830823051265 1657705192653  "['lula13presidente', 'haddad13governador']" 0.23 0 0
1547153898653237250 1657705208825  "['lulavergonhadobrasil', 'nemlulanembolsonaro']" 0.16 0 1
1547154274882404352 1657705298525  "['lulanacadeia', 'ptnuncamais']" 0.18 0 1
1547154320696680448 1657705309448 1546827812467785729 "['lulanacadeia', 'bolsonaroreeleito', 'esquerdacriminosa', 'esquerdanuncamais']" 0.1 0 1
1547154351910682626 1657705316890  "['lulanacadeia', 'bolsonaro22']" 0.42 -1 1
1547154481502208000 1657705347787  "['lulanoprimeiroturno', 'lulaeoptunindoobrasil']" 0.59 0 0
1547155054590844932 1657705484422  "['lulapresidente13', 'lula13no1turno', 'lula13']" 0.06 0 0
1547155057791098886 1657705485185  "['esquerdacriminosa', 'bolsonaroreeleito2022']" 0.21 0 1
1547156360428765184 1657705795758  "['vamosjuntospelobrasil', 'brasilcomlula', 'lulapresidente', 'lulaestadista', 'lulainocente', 'lula1ºturno', 'lula13', 'lulajá']" 0.34 0 0
1547156378753581058 1657705800127  "['vamosjuntospelobrasil', 'anittalulou']" 0.6866666666666665 0 0
1547156413146882051 1657705808327 1546882358393143302 "['bolsonarismomata', 'bolsonarismoéumadoença', 'viradarj']" 0.31 -2 0
1547156863879417857 1657705915790  "['bolsonaro22', 'esquerdacriminosa']" 0.34 0 1
